Format Version,1.23,Take Name,Beautiful_Things,Take Notes,,Capture Frame Rate,100.000702,Export Frame Rate,100.000702,Capture Start Time,2025-07-27 07.11.57.218 AM,Total Frames in Take,17990,Total Exported Frames,17990,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Active 1058,Active 1058,Active 1058,Active 2048,Active 2048,Active 2048,Active 2052,Active 2052,Active 2052,Active 2304,Active 2304,Active 2304,Active 256,Active 256,Active 256,Active 288,Active 288,Active 288,Active 512,Active 512,Active 512,Active 580,Active 580,Active 580
,ID,"4228D403B2A","4228D403B2A","4228D403B2A","8008D403B2A","8008D403B2A","8008D403B2A","8048D403B2A","8048D403B2A","8048D403B2A","9008D403B2A","9008D403B2A","9008D403B2A","1008D403B2A","1008D403B2A","1008D403B2A","1208D403B2A","1208D403B2A","1208D403B2A","2008D403B2A","2008D403B2A","2008D403B2A","2448D403B2A","2448D403B2A","2448D403B2A"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
61,0.609996,-1.888979,1.026906,-21.228836,,,,-6.262300,1.273750,-18.823027,-6.124397,1.207847,-18.780083,,,,-5.587995,0.584855,2.490485,-2.220828,1.023487,-21.192589,-1.877785,1.012299,-21.273870
62,0.619996,-1.889070,1.027086,-21.228657,,,,-6.262218,1.273665,-18.822996,-6.124247,1.207692,-18.780069,,,,-5.590420,0.584711,2.488427,-2.221051,1.023274,-21.192581,-1.876875,1.011512,-21.274744
63,0.629996,-1.889131,1.027101,-21.228107,,,,-6.262194,1.273637,-18.823114,-6.124214,1.207611,-18.780087,,,,-5.584198,0.584120,2.485084,-2.220959,1.023476,-21.192629,-1.875959,1.010728,-21.275621
64,0.639996,-1.888761,1.026767,-21.229017,,,,-6.262354,1.273558,-18.823036,-6.124105,1.207610,-18.780231,,,,-5.579953,0.584489,2.482934,-2.221036,1.023448,-21.192616,-1.877605,1.012101,-21.273804
65,0.649995,-1.888826,1.026850,-21.228918,,,,-6.262288,1.273734,-18.823004,-6.123993,1.207610,-18.780369,,,,-5.575709,0.584867,2.480801,-2.221185,1.024152,-21.192781,-1.877499,1.011974,-21.273855
66,0.659995,-1.889161,1.027195,-21.228264,,,,-6.262279,1.273723,-18.823063,-6.124021,1.207383,-18.780111,,,,-5.568048,0.588428,2.477066,-2.221332,1.024860,-21.192944,-1.877395,1.011851,-21.273903
67,0.669995,-1.889497,1.027544,-21.227602,,,,-6.262208,1.273725,-18.822996,-6.124029,1.207465,-18.780117,,,,-5.562184,0.592803,2.474904,-2.220890,1.023116,-21.192562,-1.876951,1.011517,-21.274612
68,0.679995,-1.888908,1.026925,-21.228937,,,,-6.262142,1.273729,-18.822926,-6.124040,1.207557,-18.780128,,,,-5.556590,0.595786,2.474738,-2.222721,1.019435,-21.190649,-1.877715,1.012053,-21.273863
69,0.689995,-1.888935,1.026980,-21.228914,,,,-6.262078,1.273640,-18.822916,-6.123876,1.207375,-18.780159,,,,-5.549503,0.599676,2.471294,-2.220946,1.023199,-21.192585,-1.877681,1.012261,-21.273819
70,0.699995,-1.888969,1.027041,-21.228884,,,,-6.262054,1.273546,-18.822922,-6.123757,1.207270,-18.780151,,,,-5.545000,0.602319,2.468862,-2.221054,1.023392,-21.192619,-1.876900,1.011514,-21.274662
71,0.709995,-1.889206,1.027050,-21.228140,,,,-6.262034,1.273453,-18.822924,-6.123774,1.207476,-18.780190,,,,-5.541386,0.604387,2.466430,-2.221157,1.023594,-21.192699,-1.876117,1.010771,-21.275511
72,0.719995,-1.888767,1.026795,-21.229059,,,,-6.262016,1.273632,-18.822897,-6.123824,1.207490,-18.780277,,,,-5.536673,0.606336,2.461984,-2.221200,1.023552,-21.192612,-1.877606,1.012001,-21.273874
73,0.729995,-1.888795,1.026768,-21.229033,,,,-6.262075,1.273299,-18.822792,-6.123735,1.207315,-18.780132,,,,-5.532557,0.607910,2.457453,-2.221102,1.023611,-21.192686,-1.877518,1.012062,-21.273781
74,0.739995,-1.888829,1.026748,-21.229000,,,,-6.262125,1.273356,-18.822718,-6.123819,1.207523,-18.780241,,,,-5.528444,0.609489,2.452929,-2.221137,1.023453,-21.192640,-1.876935,1.011599,-21.274677
75,0.749995,-1.889255,1.027164,-21.228090,,,,-6.261981,1.273526,-18.822910,-6.123825,1.207602,-18.780195,,,,-5.525507,0.609917,2.449361,-2.220874,1.023042,-21.192619,-1.876354,1.011134,-21.275579
76,0.759995,-1.888882,1.026814,-21.229000,,,,-6.262014,1.273404,-18.822765,-6.123714,1.207545,-18.780285,,,,-5.522964,0.610478,2.446760,-2.220928,1.023327,-21.192577,-1.877698,1.012242,-21.273750
77,0.769995,-1.888910,1.026857,-21.228918,,,,-6.262013,1.273687,-18.822933,-6.123601,1.207493,-18.780367,,,,-5.520422,0.611039,2.444170,-2.221241,1.023720,-21.192678,-1.877637,1.012078,-21.273840
78,0.779995,-1.889227,1.027253,-21.228086,,,,-6.262025,1.273587,-18.822783,-6.123731,1.207553,-18.780235,,,,-5.517399,0.612218,2.440828,-2.221554,1.024116,-21.192780,-1.877567,1.011915,-21.273922
79,0.789994,-1.889552,1.027654,-21.227249,,,,-6.262084,1.273608,-18.822851,-6.123710,1.207705,-18.780367,,,,-5.515242,0.613168,2.438234,-2.221062,1.023254,-21.192595,-1.877136,1.011716,-21.274578
80,0.799994,-1.888950,1.026856,-21.228884,,,,-6.262147,1.273628,-18.822916,-6.123690,1.207861,-18.780497,,,,-5.513024,0.614165,2.435030,-2.222744,1.019570,-21.190655,-1.877701,1.012171,-21.273882
81,0.809994,-1.888825,1.026777,-21.228897,,,,-6.261931,1.273428,-18.822912,-6.123753,1.207552,-18.780346,,,,-5.512485,0.614853,2.433897,-2.220889,1.023260,-21.192608,-1.877807,1.012185,-21.273769
82,0.819994,-1.888706,1.026705,-21.228899,,,,-6.261965,1.273651,-18.822992,-6.123639,1.207677,-18.780396,,,,-5.511711,0.616107,2.432307,-2.221220,1.023608,-21.192587,-1.877047,1.011738,-21.274641
83,0.829994,-1.889354,1.027149,-21.228064,,,,-6.262004,1.273877,-18.823074,-6.123552,1.207981,-18.780460,,,,-5.509987,0.617566,2.428426,-2.221084,1.023605,-21.192608,-1.876281,1.011292,-21.275517
84,0.839994,-1.888795,1.026831,-21.228918,,,,-6.261858,1.273739,-18.823322,-6.123541,1.207795,-18.780478,,,,-5.509696,0.618697,2.426371,-2.220919,1.023309,-21.192598,-1.877687,1.012066,-21.273817
85,0.849994,-1.888801,1.026843,-21.228962,,,,-6.261751,1.273717,-18.823343,-6.123477,1.207880,-18.780542,,,,-5.510819,0.619975,2.424236,-2.221112,1.023670,-21.192692,-1.877795,1.012216,-21.273743
86,0.859994,-1.888812,1.026863,-21.228996,,,,-6.261696,1.273709,-18.823351,-6.123446,1.207795,-18.780605,,,,-5.511898,0.621256,2.422065,-2.221021,1.023550,-21.192633,-1.876976,1.011663,-21.274599
87,0.869994,-1.889359,1.027140,-21.228086,,,,-6.261719,1.273725,-18.823360,-6.123345,1.207742,-18.780663,,,,-5.512206,0.620362,2.426078,-2.221109,1.023734,-21.192728,-1.876154,1.011111,-21.275454
88,0.879994,-1.888927,1.026916,-21.228922,,,,-6.261613,1.273631,-18.823397,-6.123260,1.207678,-18.780687,,,,-5.510237,0.619638,2.426707,-2.221212,1.023708,-21.192629,-1.877692,1.012047,-21.273798
89,0.889994,-1.888772,1.026769,-21.228973,,,,-6.261717,1.273731,-18.823296,-6.123173,1.207615,-18.780710,,,,-5.508277,0.618901,2.427360,-2.221111,1.023507,-21.192612,-1.877631,1.012012,-21.273834
90,0.899994,-1.889220,1.027090,-21.228224,,,,-6.261652,1.273762,-18.823330,-6.123197,1.207608,-18.780817,,,,,,,-2.221017,1.023305,-21.192593,-1.877569,1.011981,-21.273872
91,0.909994,-1.889674,1.027413,-21.227453,,,,-6.261636,1.273510,-18.823284,-6.123062,1.207541,-18.780998,,,,,,,-2.221112,1.023256,-21.192591,-1.876958,1.011503,-21.274580
92,0.919994,-1.888844,1.026782,-21.228878,,,,-6.261627,1.273265,-18.823242,-6.122927,1.207476,-18.781176,,,,,,,-2.222881,1.019705,-21.190754,-1.877771,1.012084,-21.273849
93,0.929993,-1.888865,1.026907,-21.228907,,,,-6.261555,1.273691,-18.823519,-6.122998,1.207443,-18.781086,,,,,,,-2.221179,1.023467,-21.192596,-1.877797,1.012256,-21.273857
94,0.939993,-1.888891,1.027041,-21.228930,,,,-6.261461,1.273676,-18.823544,-6.122975,1.207553,-18.781076,,,,,,,-2.220946,1.023123,-21.192533,-1.877028,1.011524,-21.274593
95,0.949993,-1.889223,1.026887,-21.228363,,,,-6.261363,1.273662,-18.823565,-6.122793,1.207396,-18.781174,,,,,,,-2.221065,1.023227,-21.192587,-1.876260,1.010797,-21.275328
96,0.959993,-1.888848,1.026769,-21.229168,,,,-6.261412,1.273680,-18.823475,-6.122900,1.207605,-18.781269,,,,,,,-2.221067,1.023468,-21.192673,-1.877660,1.012151,-21.273817
97,0.969993,-1.888926,1.026838,-21.229002,,,,-6.261456,1.273743,-18.823477,-6.122854,1.207568,-18.781233,,,,,,,-2.221012,1.023533,-21.192749,-1.877623,1.012235,-21.273832
98,0.979993,-1.889009,1.026916,-21.228834,,,,-6.261561,1.273460,-18.823286,-6.122827,1.207553,-18.781279,,,,,,,-2.221064,1.023656,-21.192776,-1.877057,1.011621,-21.274712
99,0.989993,-1.889128,1.027078,-21.228067,,,,-6.261455,1.273865,-18.823446,-6.122843,1.207599,-18.781237,,,,,,,-2.221056,1.023381,-21.192614,-1.876488,1.011006,-21.275581
100,0.999993,-1.888955,1.026832,-21.229025,,,,-6.261419,1.273472,-18.823265,-6.122795,1.207479,-18.781216,,,,,,,-2.220950,1.023342,-21.192608,-1.877634,1.012013,-21.273798
101,1.009993,-1.888867,1.026861,-21.229004,,,,-6.261480,1.273752,-18.823217,-6.122748,1.207361,-18.781189,,,,,,,-2.221117,1.023615,-21.192667,-1.877673,1.012021,-21.273823
102,1.019993,-1.889148,1.027202,-21.228062,,,,-6.261363,1.273672,-18.823200,-6.122805,1.207453,-18.781101,,,,,,,-2.221290,1.023894,-21.192738,-1.877710,1.012031,-21.273846
103,1.029993,-1.889432,1.027542,-21.227112,,,,-6.261419,1.273669,-18.823099,-6.122869,1.207490,-18.781199,,,,,,,-2.220955,1.023420,-21.192606,-1.876908,1.011447,-21.274523
